game_id,gameorder,date_game,year_id,neutral,is_playoff,fran_id,home,away,opp_fran,elo_i,elo_n,elo_prob,home_score,away_score,result
1,1PITTEN,9/10/2009,2010,0,0,Steelers,PIT,TEN,Titans,1644.566,1592.943,0.661802237,13,10,1
1,1NYGWSH,9/13/2009,2010,0,0,Giants,NYG,WSH,Redskins,1589.085,1495.03,0.71414354,23,17,1
1,1TBDAL,9/13/2009,2010,0,0,Buccaneers,TB,DAL,Cowboys,1483.712,1536.223,0.517965379,21,34,0
1,1BALKC,9/13/2009,2010,0,0,Ravens,BAL,KC,Chiefs,1613.81,1358.667,0.863290292,38,24,1
1,1NODET,9/13/2009,2010,0,0,Saints,NO,DET,Lions,1517.408,1329.224,0.81114147,45,27,1
1,1HOUNYJ,9/13/2009,2010,0,0,Texans,HOU,NYJ,Jets,1505.421,1483.253,0.622877392,7,24,0
1,1GBCHI,9/13/2009,2010,0,0,Packers,GB,CHI,Bears,1502.422,1524.884,0.560913042,21,15,1
1,1ARISF,9/13/2009,2010,0,0,Cardinals,ARI,SF,49ers,1550.108,1453.624,0.716989385,16,20,0
1,1INDJAX,9/13/2009,2010,0,0,Colts,IND,JAX,Jaguars,1614.972,1462.719,0.777405229,14,12,1
1,1CLEMIN,9/13/2009,2010,0,0,Browns,CLE,MIN,Vikings,1423.137,1538.393,0.428176033,20,34,0
1,1CARPHI,9/13/2009,2010,0,0,Panthers,CAR,PHI,Eagles,1529.671,1603.684,0.487032159,10,38,0
1,1ATLMIA,9/13/2009,2010,0,0,Falcons,ATL,MIA,Dolphins,1527.719,1514.267,0.61102101,19,7,1
1,1CINDEN,9/13/2009,2010,0,0,Bengals,CIN,DEN,Broncos,1451.942,1451.247,0.593431851,7,12,0
1,1SEALAR,9/13/2009,2010,0,0,Seahawks,SEA,LAR,Rams,1443.374,1346.511,0.717431876,28,0,1
1,1NEBUF,9/14/2009,2010,0,0,Patriots,NE,BUF,Bills,1607.725,1451.939,0.78090471,25,24,1
1,1OAKLAC,9/14/2009,2010,0,0,Raiders,OAK,LAC,Chargers,1427.453,1567.911,0.393083022,20,24,0
2,2DALNYG,9/20/2009,2010,0,0,Cowboys,DAL,NYG,Giants,1563.718,1599.46,0.542006397,31,33,0
2,2CHIPIT,9/20/2009,2010,0,0,Bears,CHI,PIT,Steelers,1508.119,1653.471,0.386382658,17,14,1
2,2BUFTB,9/20/2009,2010,0,0,Bills,BUF,TB,Buccaneers,1449.179,1456.217,0.582648694,33,20,1
