gameorder,date,season,game_id,away,opp_fran,away_conference,away_div,fran_id,home,home_conference,home_div
1,9/6/2018,2019,1ATLPHI,ATL,Falcons,NFC,South,Eagles,PHI,NFC,East
1,9/9/2018,2019,1PITCLE,PIT,Steelers,AFC,North,Browns,CLE,AFC,North
1,9/9/2018,2019,1CININD,CIN,Bengals,AFC,North,Colts,IND,AFC,South
1,9/9/2018,2019,1TENMIA,TEN,Titans,AFC,South,Dolphins,MIA,AFC,East
1,9/9/2018,2019,1SFMIN,SF,49ers,NFC,West,Vikings,MIN,NFC,North
1,9/9/2018,2019,1TBNO,TB,Buccaneers,NFC,South,Saints,NO,NFC,South
1,9/9/2018,2019,1HOUNE,HOU,Texans,AFC,South ,Patriots,NE,AFC,East
1,9/9/2018,2019,1JAXNYG,JAX,Jaguars,AFC,South ,Giants,NYG,NFC,East
1,9/9/2018,2019,1BUFBAL,BUF,Bills,AFC,East,Ravens,BAL,AFC,North
1,9/9/2018,2019,1KCLAC,KC,Chiefs,AFC,West,Chargers,LAC,AFC,West
1,9/9/2018,2019,1DALCAR,DAL,Cowboys,NFC,East,Panthers,CAR,NFC,South
1,9/9/2018,2019,1WASARI,WAS,Redskins,NFC,East,Cardinals,ARI,NFC,West
1,9/9/2018,2019,1SEADEN,SEA,Seahawks,NFC,West,Broncos,DEN,AFC,West
1,9/9/2018,2019,1CHIGB,CHI,Bears,NFC,North,Packers,GB,NFC,North
1,9/10/2018,2019,1NYJDET,NYJ,Jets,AFC,West,Lions,DET,NFC,North
1,9/10/2018,2019,1STLOAK,STL,Rams,NFC,West,Raiders,OAK,AFC,West
2,9/13/2018,2019,2BALCIN,BAL,Ravens,AFC,North,Bengals,CIN,AFC,North
2,9/16/2018,2019,2CARATL,CAR,Panthers,NFC,South,Falcons,ATL,NFC,South
2,9/16/2018,2019,2LACBUF,LAC,Chargers,AFC,West,Bills,BUF,AFC,East
2,9/16/2018,2019,2MINGB,MIN,Vikings,NFC,North,Packers,GB,NFC,North
2,9/16/2018,2019,2CLENO,CLE,Browns,AFC,North,Saints,NO,NFC,South
2,9/16/2018,2019,2MIANYJ,MIA,Dolphins,AFC,East,Jets,NYJ,AFC,East
2,9/16/2018,2019,2HOUTEN,HOU,Texans,AFC,South ,Titans,TEN,AFC,South
2,9/16/2018,2019,2KCPIT,KC,Chiefs,AFC,West,Steelers,PIT,AFC,North
2,9/16/2018,2019,2PHITB,PHI,Eagles,NFC,East,Buccaneers,TB,NFC,South
2,9/16/2018,2019,2INDWAS,IND,Colts,AFC,South ,Redskins,WAS,NFC,East
2,9/16/2018,2019,2ARISTL,ARI,Cardinals,NFC,West,Rams,STL,NFC,West
2,9/16/2018,2019,2DETSF,DET,Lions,NFC,North,49ers,SF,NFC,West
2,9/16/2018,2019,2OAKDEN,OAK,Raiders,AFC,West,Broncos,DEN,AFC,West
2,9/16/2018,2019,2NEJAX,NE,Patriots,AFC,East, Jaguars,JAX,AFC,South
2,9/16/2018,2019,2NYGDAL,NYG,Giants,NFC,East,Cowboys,DAL,NFC,East
2,9/17/2018,2019,2SEACHI,SEA,Seahawks,NFC,West,Bears,CHI,NFC,North
3,9/20/2018,2019,3NYJCLE,NYJ, Jets,AFC,East,Browns,CLE,AFC,North
3,9/23/2018,2019,3NOATL,NO,Saints,NFC,South,Falcons,ATL,NFC,South
3,9/23/2018,2019,3CINCAR,CIN,Bengals,AFC,North,Panthers,CAR,NFC,South
3,9/23/2018,2019,3NYGHOU,NYG,Giants,NFC,East,Texans,HOU,AFC,South
3,9/23/2018,2019,3TENJAX,TEN,Titans,AFC,South , Jaguars,JAX,AFC,South
3,9/23/2018,2019,3SFKC,SF,49ers,NFC,West,Chiefs,KC,AFC,West
