Week,Season,Day,Visiting Team,Visiting,Conference,Division,Home,Home Team,Conference,Division,
1,2018,Thu,ATL,Falcons,NFC,South,Eagles,PHI,NFC,East,
1,2018,Sun,PIT,Steelers,AFC,North,Browns,CLE,AFC,North,
1,2018,Sun,CIN,Bengals,AFC,North,Colts,IND,AFC,South,
1,2018,Sun,TEN,Titans,AFC,South,Dolphins,MIA,AFC,East,
1,2018,Sun,SF,49ers,NFC,West,Vikings,MIN,NFC,North,
1,2018,Sun,TB,Buccaneers,NFC,South,Saints,NO,NFC,South,
1,2018,Sun,HOU,Texans,AFC,South ,Patriots,NE,AFC,East,
1,2018,Sun,JAX,Jaguars,AFC,South ,Giants,NYG,NFC,East,
1,2018,Sun,BUF,Bills,AFC,East,Ravens,BAL,AFC,North,
1,2018,Sun,KC,Chiefs,AFC,West,Chargers,LAC,AFC,West,
1,2018,Sun,DAL,Cowboys,NFC,East,Panthers,CAR,NFC,South,
1,2018,Sun,WAS,Redskins,NFC,East,Cardinals,ARI,NFC,West,
1,2018,Sun,SEA,Seahawks,NFC,West,Broncos,DEN,AFC,West,
1,2018,Sun,CHI,Bears,NFC,North,Packers,GB,NFC,North,
1,2018,Mon,NYJ,Jets,AFC,West,Lions,DET,NFC,North,
1,2018,Mon,STL,Rams,NFC,West,Raiders,OAK,AFC,West,
2,2018,Thu,BAL,Ravens,AFC,North,Bengals,CIN,AFC,North,
2,2018,Sun,CAR,Panthers,NFC,South,Falcons,ATL,NFC,South,
2,2018,Sun,LAC,Chargers,AFC,West,Bills,BUF,AFC,East,
2,2018,Sun,MIN,Vikings,NFC,North,Packers,GB,NFC,North,
2,2018,Sun,CLE,Browns,AFC,North,Saints,NO,NFC,South,
2,2018,Sun,MIA,Dolphins,AFC,East,Jets,NYJ,AFC,East,
2,2018,Sun,HOU,Texans,AFC,South ,Titans,TEN,AFC,South,
2,2018,Sun,KC,Chiefs,AFC,West,Steelers,PIT,AFC,North,
2,2018,Sun,PHI,Eagles,NFC,East,Buccaneers,TB,NFC,South,
2,2018,Sun,IND,Colts,AFC,South ,Redskins,WAS,NFC,East,
2,2018,Sun,ARI,Cardinals,NFC,West,Rams,STL,NFC,West,
2,2018,Sun,DET,Lions,NFC,North,49ers,SF,NFC,West,
2,2018,Sun,OAK,Raiders,AFC,West,Broncos,DEN,AFC,West,
2,2018,Sun,NE,Patriots,AFC,East, Jaguars,JAX,AFC,South,
2,2018,Sun,NYG,Giants,NFC,East,Cowboys,DAL,NFC,East,
2,2018,Mon,SEA,Seahawks,NFC,West,Bears,CHI,NFC,North,
3,2018,Thu,NYJ, Jets,AFC,East,Browns,CLE,AFC,North,
3,2018,Sun,NO,Saints,NFC,South,Falcons,ATL,NFC,South,
3,2018,Sun,CIN,Bengals,AFC,North,Panthers,CAR,NFC,South,
3,2018,Sun,NYG,Giants,NFC,East,Texans,HOU,AFC,South,
3,2018,Sun,TEN,Titans,AFC,South , Jaguars,JAX,AFC,South,
3,2018,Sun,SF,49ers,NFC,West,Chiefs,KC,AFC,West,
3,2018,Sun,OAK,Raiders,AFC,West,Dolphins,MIA,AFC,East,
3,2018,Sun,BUF,Bills,AFC,West,Vikings,MIN,NFC,North,
3,2018,Sun,IND,Colts,AFC,South ,Eagles,PHI,NFC,East,
3,2018,Sun,DEN,Broncos,AFC,West,Ravens,BAL,AFC,North,
3,2018,Sun,GB,Packers,NFC,North,Redskins,WAS,NFC,East,
3,2018,Sun,LAC,Chargers,AFC,West,Rams,STL,NFC,West,
3,2018,Sun,CHI,Bears,NFC,North,Cardinals,ARI,NFC,West,
3,2018,Sun,DAL,Cowboys,NFC,East,Seahawks,SEA,NFC,West,
3,2018,Sun,NE,Patriots,AFC,West,Lions,DET,NFC,North,
3,2018,Mon,PIT,Steelers,AFC,North,Buccaneers,TB,NFC,South,
4,2018,Thu,MIN,Vikings,NFC,North,Rams,STL,NFC,West,
4,2018,Sun,CIN,Bengals,AFC,North,Falcons,ATL,NFC,South,
4,2018,Sun,TB,Buccaneers,NFC,South,Bears,CHI,NFC,North,
4,2018,Sun,HOU,Texans,AFC,South ,Colts,IND,AFC,South,
4,2018,Sun,DET,Lions,NFC,North,Cowboys,DAL,NFC,East,
4,2018,Sun,BUF,Bills,AFC,West,Packers,GB,NFC,North,
4,2018,Sun,NYJ, Jets,AFC,East, Jaguars,JAX,AFC,South,
4,2018,Sun,MIA,Dolphins,AFC,East,Patriots,NE,AFC,East,
4,2018,Sun,PHI,Eagles,NFC,East,Titans,TEN,AFC,South,
4,2018,Sun,SEA,Seahawks,NFC,West,Cardinals,ARI,NFC,West,
4,2018,Sun,CLE,Browns,AFC,North,Raiders,OAK,AFC,West,
4,2018,Sun,NO,Saints,NFC,South,Giants,NYG,NFC,East,
4,2018,Sun,SF,49ers,NFC,West,Chargers,LAC,AFC,West,
4,2018,Sun,BAL,Ravens,AFC,North,Steelers,PIT,AFC,North,
4,2018,Mon,KC,Chiefs,AFC,West,Broncos,DEN,AFC,West,
5,2018,Thu,IND,Colts,AFC,South ,Patriots,NE,AFC,East,
5,2018,Sun,TEN,Titans,AFC,South ,Bills,BUF,AFC,East,
5,2018,Sun,NYG,Giants,NFC,East,Panthers,CAR,NFC,South,
5,2018,Sun,MIA,Dolphins,AFC,East,Bengals,CIN,AFC,North,
5,2018,Sun,BAL,Ravens,AFC,North,Browns,CLE,AFC,North,
5,2018,Sun,GB,Packers,NFC,North,Lions,DET,NFC,North,
5,2018,Sun,JAX,Jaguars,AFC,South ,Chiefs,KC,AFC,West,
5,2018,Sun,DEN,Broncos,AFC,West,Jets,NYJ,AFC,East,
5,2018,Sun,ATL,Falcons,NFC,South,Steelers,PIT,AFC,North,
5,2018,Sun,OAK,Raiders,AFC,West,Chargers,LAC,AFC,West,
5,2018,Sun,MIN,Vikings,NFC,North,Eagles,PHI,NFC,East,
5,2018,Sun,STL,Rams,NFC,West,Seahawks,SEA,NFC,West,
5,2018,Sun,ARI,Cardinals,NFC,West,49ers,SF,NFC,West,
5,2018,Sun,DAL,Cowboys,NFC,East,Texans,HOU,AFC,South,
