RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G,Won SB
1,Seattle,4274,267.1,2970,185.6,1304,81.5,254,15.9,0
2,Detroit,4815,300.9,3706,231.6,1109,69.3,282,17.6,0
3,Denver,4883,305.2,3607,225.4,1276,79.8,354,22.1,0
4,Buffalo,4995,312.2,3292,205.8,1703,106.4,289,18.1,0
5,San Francisco,5143,321.4,3531,220.7,1612,100.8,340,21.3,0
6,NY Jets,5235,327.2,3746,234.1,1489,93.1,401,25.1,0
7,Kansas City,5288,330.5,3252,203.3,2036,127.3,281,17.6,0
8,Baltimore,5391,336.9,3979,248.7,1412,88.3,302,18.9,0
9,LA Chargers,5413,338.3,3427,214.2,1986,124.1,348,21.8,0
10,Carolina,5437,339.8,3645,227.8,1792,112,374,23.4,0
11,Indianapolis,5483,342.7,3669,229.3,1814,113.4,369,23.1,0
12,Miami,5494,343.4,3557,222.3,1937,121.1,373,23.3,0
13,New England,5506,344.1,3837,239.8,1669,104.3,313,19.6,1
14,Minnesota,5515,344.7,3572,223.3,1943,121.4,343,21.4,0
15,Green Bay,5542,346.4,3623,226.4,1919,119.9,348,21.8,0
16,Houston,5571,348.2,3890,243.1,1681,105.1,307,19.2,0
17,LA Rams,5626,351.6,3861,241.3,1765,110.3,354,22.1,0
18,Pittsburgh,5654,353.4,4049,253.1,1605,100.3,368,23,0
19,Dallas,5681,355.1,4031,251.9,1650,103.1,352,22,0
20,Washington,5712,357,3990,249.4,1722,107.6,438,27.4,0
21,Oakland,5721,357.6,3810,238.1,1911,119.4,452,28.3,0
22,Cincinnati,5749,359.3,3888,243,1861,116.3,344,21.5,0
23,Cleveland,5857,366.1,3592,224.5,2265,141.6,337,21.1,0
24,Arizona,5891,368.2,4152,259.5,1739,108.7,299,18.7,0
25,Tampa Bay,5903,368.9,4084,255.3,1819,113.7,410,25.6,0
26,Jacksonville,5932,370.8,3899,243.7,2033,127.1,412,25.8,0
27,Tennessee,5968,373,3773,235.8,2195,137.2,438,27.4,0
28,Philadelphia,6009,375.6,4238,264.9,1771,110.7,400,25,0
29,NY Giants,6012,375.8,3850,240.6,2162,135.1,400,25,0
30,Chicago,6033,377.1,4230,264.4,1803,112.7,442,27.6,0
31,New Orleans,6144,384,4019,251.2,2125,132.8,424,26.5,0
32,Atlanta,6372,398.3,4478,279.9,1894,118.4,417,26.1,0
