year,real_winner,real_loser,nfc_winner,nfc_overall,nfc_offense,nfc_defense,afc_winner,afc_rating,afc_offense,afc_defense
2019,tbd,tbd,Eagles,95,,,Patriots,94,,
2018,Eagles,Patriots,Falcons,91,89,80,Patriots,92,92,88
2017,Patriots,Falcons,Panthers,87,83,89,Patriots,87,89,91
2016,Broncos,Panthers,Seahawks,91,,,Patriots,91,,
2015,Patriots,Seahawks,Seahawks,91,,,Broncos,90,,
2014,Seahawks,Broncos,49ers,91,,,Broncos,89,,
2013,Ravens,49ers,Packers,91,,,Patriots,91,,
2012,Giants,Patriots,Packers,92,,,Steelers,90,,
2011,Packers,Steelers,Saints,92,,,Colts,91,,
2010,Saints,Colts,Giants,89,,,Patriots,93,,
2009,Steelers,Cardinals,Cowboys,96,,,Patriots,97,,
2008,Giants,Patriots,Bears,91,,,Patriots,97,,
2007,Colts,Bears,Seahawks,96,,,Colts,97,,
2006,Steelers,Seahawks,Eagles,96,,,Patriots,97,,
2005,Patriots,Eagles,Eagles,95,,,Patriots,99,,
2004,Patriots,Panthers,Buccaneers,88,,,Dolphins,88,,
2003,Buccaneers,Raiders,Rams,94,,,Steelers,88,,
2002,Patriots,Rams,Buccaneers,92,,,Ravens,99,,
2001,Ravens,Giants,Rams,95,,,Jaguars,95,,
2000,Rams,Titans,Packers,94,,,Broncos,93,,
